07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
08/04/2026 - 18:51:21 (-3 TMZ) | 06:23:16:21 (Artemis Clock) | and the vehicle itself comes back, you know, with the rest of the equipment.
08/04/2026 - 18:51:50 (-3 TMZ) | 06:23:16:50 (Artemis Clock) | Of that radiation data downlinked yet, and have you guys been able to take a look at it, or is that all going to be after? So I think I was referring to the avatar data, and that data will obviously be brought off of the ship once it's returned.
08/04/2026 - 18:51:56 (-3 TMZ) | 06:23:16:56 (Artemis Clock) | I'll take one from the phone. This from Manuel Mazanati with Exploracion Espacial.
08/04/2026 - 18:52:12 (-3 TMZ) | 06:23:17:12 (Artemis Clock) | Thank you so much, Marina, for the exploration. A question, maybe for Zheek. This is not another entry, but the simulation that the crew performed with the oxygen. I would like to know if they provided some feedback after this exercise. I understand that they were doing...
08/04/2026 - 18:52:34 (-3 TMZ) | 06:23:17:34 (Artemis Clock) | Manuel, we have not, we're not hearing you quite clearly. Can you try again, please?
08/04/2026 - 18:52:50 (-3 TMZ) | 06:23:17:50 (Artemis Clock) | Yes, I apologize. My name is Giovanni. I was asking Rick if he can provide, if the astronaut gave some feedback regarding the test with the seats on board the capsule a few days ago. They were doing at different speeds, and I wonder if the crew provided some feedback of improving the process.
08/04/2026 - 18:53:22 (-3 TMZ) | 06:23:18:22 (Artemis Clock) | But the experience gained from having a chance to put them on during the mission and not just before entry is invaluable to the crew. They will have-- no one's put an OX suit on in zero gravity before. And so the lessons that they learn from doing it--
08/04/2026 - 18:53:33 (-3 TMZ) | 06:23:18:33 (Artemis Clock) | in an arguably less stressful time, in the middle of the mission, it's going to pay dividends for when they have to put it on on entry day when there is a little bit of a time constraint because we need to ensure that they're suited and seated before entry.
08/04/2026 - 18:53:59 (-3 TMZ) | 06:23:18:59 (Artemis Clock) | Miles Doran, CBS News. One question for Rick and one for Debbie. Rick, how long before entry interface, and roughly at what altitude, if you know it, are you switching back over to TDRS and getting GPS back? How quickly is that?
08/04/2026 - 18:54:15 (-3 TMZ) | 06:23:19:15 (Artemis Clock) | sequence of events happening. And Debbie, after Artemis 1, the main parachutes and the forward bay cover weren't able to be recovered for inspection. Is there anything you wish you knew about how they performed that you don't know based on other data that you were able to get? Thanks.
08/04/2026 - 18:54:37 (-3 TMZ) | 06:23:19:37 (Artemis Clock) | So as far as the handover from the Deep Space Network to TDRS, that's going to occur approximately 38 minutes prior to entry interface. Once the handover is complete, you'll hear a comm check from CAPCOM to confirm we have a good link. And I just think this is a good time to acknowledge that the Deep Space Network
08/04/2026 - 18:54:48 (-3 TMZ) | 06:23:19:48 (Artemis Clock) | Space Network has been performing exceptionally through the mission. It was a watch item as we were preparing for the mission over the past couple months, but the team that has been managing those systems and ensuring good communications has really performed tremendously, and their efforts preflight.
08/04/2026 - 18:55:26 (-3 TMZ) | 06:23:20:26 (Artemis Clock) | parachute assets out the back of a plane in Yuma and looking at all different kind of corners of the box. When you have one chute out or two chutes out or one drogue and you miss the main. And so you're doing these tests on the ground to really prove out that system. So I'd say, you know, not getting the asset back that you can always learn by visually inspecting it when it comes back.
08/04/2026 - 18:55:57 (-3 TMZ) | 06:23:20:57 (Artemis Clock) | that we spoke of earlier was to get some really good imagery of those shoots if we don't get them back. Okay, we'll take one or two more and then we'll go ahead and wrap up. Go ahead. Nick Contori with ABC 13. Question, Rick, for you. Give us the difficulty about what you're going to do relative to the
08/04/2026 - 18:56:14 (-3 TMZ) | 06:23:21:14 (Artemis Clock) | The lunar flyby, for people at home, how hard is this splashdown that you all are trying to accomplish, and what are the nerves like here at JSC to make sure that those astronauts return safely to Earth? I don't know if it's necessarily harder. I think it's just a different...
08/04/2026 - 18:56:35 (-3 TMZ) | 06:23:21:35 (Artemis Clock) | It's a different environment. It's very dynamic, so similarly to the launch environment, there's not a lot of time to react. When we're performing the launch of any rocket, no matter who's in charge of the launch, there's not a lot of time to respond. And we've talked a little bit and we...
08/04/2026 - 18:57:02 (-3 TMZ) | 06:23:22:02 (Artemis Clock) | we're in a really time-critical, dynamic environment. We don't have as much of an opportunity to exchange information and talk through nuances of failures. And so what's different for entry is more that there's more of a reliance on the operations teams.
08/04/2026 - 18:57:18 (-3 TMZ) | 06:23:22:18 (Artemis Clock) | as the experts to provide a recommendation and safely ensure that the astronauts return home. You know, I'll just mention that Debbie mentioned a little earlier about the probabilistic risk assessment. We don't talk a lot comparatively about the risk of one part of the mission.
08/04/2026 - 18:57:44 (-3 TMZ) | 06:23:22:44 (Artemis Clock) | The hard part is behind us, but obviously we're down to the wire now, we're down to the end of the mission, and obviously getting the crew back home and getting them landed safely is a significant part of the risk that's still in front of us. Okay, we'll take one final question here.
08/04/2026 - 18:57:49 (-3 TMZ) | 06:23:22:49 (Artemis Clock) | And then we'll go ahead and conclude. If you just wait for the mic.
08/04/2026 - 18:58:33 (-3 TMZ) | 06:23:23:33 (Artemis Clock) | Ahead of reentry, I was just wondering if you'd give me some more information about what that concern might have been, or whether even there's a real concern. I take it from your previous answers you're happy about the conditions for reentry, but why could that be an issue? And if it is an issue, has it been resolved? Yeah, I think the issue that, if it's specific to reentry--
08/04/2026 - 18:58:49 (-3 TMZ) | 06:23:23:49 (Artemis Clock) | With that tank, it's not, we've been talking for the last few days, it's not venting as effectively as we had hoped or had planned, and so the tank may have more volume in it on reentry day than our initial models had predicted, had analyzed. And so we're just looking at with a tank of that volume, are we okay? And we're perfectly fine.
08/04/2026 - 18:59:00 (-3 TMZ) | 06:23:24:00 (Artemis Clock) | So just a couple checking loads and things like that and CG of the spacecraft, you know, things are moved around and packed differently, so all that's part of that assessment we do right before reentry.
08/04/2026 - 18:59:22 (-3 TMZ) | 06:23:24:22 (Artemis Clock) | Okay, we'll go ahead and wrap up. I want to thank our participants for joining us today. We do have one time change coming up with the crew news conference scheduled for later this evening. That will occur approximately an hour later, planned to start at 9:45 Central Time, 10:45 p.m. Eastern.
08/04/2026 - 18:59:26 (-3 TMZ) | 06:23:24:26 (Artemis Clock) | You can stay tuned for all the latest updates, including imagery, at nasa.gov, and thank you for joining us.
08/04/2026 - 19:01:55 (-3 TMZ) | 06:23:26:55 (Artemis Clock) | How do you get that telemetry from Orion and then turn it into something that we can all access? Yeah, absolutely. So Orion's thousands of sensors are downlinking telemetry to Mission Control here, and the flight operations directorate takes that data, pulls out a...
08/04/2026 - 19:02:27 (-3 TMZ) | 06:23:27:27 (Artemis Clock) | the vehicle data, like position, velocity, orientation, to a 3D model of Orion, and then it takes the time data and passes that to the astronomy calculator, and that's how we get the position of the moon and sun relative to Earth so that we have Orion in the context of the mission as a whole and accurate lighting. An astronomy calculator, that is?
08/04/2026 - 19:02:43 (-3 TMZ) | 06:23:27:43 (Artemis Clock) | So interesting. Well, longtime fans of Artemis will remember that we also had AERO for Artemis I. So can you tell me what has changed since then? Yeah, absolutely. So a lot of the telemetry parameters have changed nominally. There's also new components to the
08/04/2026 - 19:03:15 (-3 TMZ) | 06:23:28:15 (Artemis Clock) | I remember when AERO started as an intern project of yours, and your background is in game development, is that right? How did you end up at NASA, and how do your game development skills contribute to this? Yeah, absolutely. I started as an intern while I was getting my education in game development.
08/04/2026 - 19:03:37 (-3 TMZ) | 06:23:28:37 (Artemis Clock) | I kind of just fell into it. I never anticipated that I'd end up at NASA. I started developing an educational kiosk app. And when the opportunity to make AERO came up, I jumped on it. Turns out there's a lot of overlap in the mathematics.
08/04/2026 - 19:03:53 (-3 TMZ) | 06:23:28:53 (Artemis Clock) | We really enjoyed it in this small cabin. It's perfect and it gave us a lot of good opportunity to get our heart rate up and also get some great resistance exercise. So we just wanted to shout out a nice thank you. Here we go. Thank you guys!
08/04/2026 - 19:03:59 (-3 TMZ) | 06:23:28:59 (Artemis Clock) | Thanks for the words and the cheers.
08/04/2026 - 19:04:25 (-3 TMZ) | 06:23:29:25 (Artemis Clock) | for the mission, and that's worth celebrating. So, so sorry to interrupt you, but please tell us more about your background and how that helped you build AERO. Yeah, there's a lot of overlap between the mathematics that go into 3D game development and tracking a spacecraft. Actually, they're two of the only
