06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
07/04/2026 - 18:38:26 (-3 TMZ) | 05:23:03:26 (Artemis Clock) | that many of us were probably imagined as children and we're trying to bring into reality.
07/04/2026 - 18:38:52 (-3 TMZ) | 05:23:03:52 (Artemis Clock) | This is from here in Houston, Texas, for lunar science lead Kelsey Young. Are there going to be any science data available of perhaps the color data for the impact flashes or trajectory directions they came from? I asked the crew about that this morning.
07/04/2026 - 18:39:25 (-3 TMZ) | 05:23:04:25 (Artemis Clock) | They were very, very brief, but they did provide sketches on whereabout they saw them. And so again, like I said, we're gonna use the lunar reconnaissance orbiter to try to, you know, track to those features and try to identify what they saw. Trajectory is gonna be hard, but lunar reconnaissance orbiter data can help us pull that out. What we really want.
07/04/2026 - 18:39:51 (-3 TMZ) | 05:23:04:51 (Artemis Clock) | And so we were able to capture a lot more detail this morning in my conversation with them, and the LRO team is off to the races.
07/04/2026 - 18:40:11 (-3 TMZ) | 05:23:05:11 (Artemis Clock) | and we will leave you with these beautiful images captured by Integrity.
07/04/2026 - 18:43:00 (-3 TMZ) | 05:23:08:00 (Artemis Clock) | in Houston, Texas, where teams continue monitoring all systems and the crew aboard the Orion spacecraft, the first flight of humans on this spacecraft.
07/04/2026 - 18:43:21 (-3 TMZ) | 05:23:08:21 (Artemis Clock) | Today, they woke up at 10:35 a.m. Central time this morning, got into their post-sleep period, and then got to talk to the International Space Station crew.
07/04/2026 - 18:43:52 (-3 TMZ) | 05:23:08:52 (Artemis Clock) | Since then, the crew has had some opportunities to speak with their families and exercise a little bit, too. We are targeting the RTC1 burn this afternoon, that's return trajectory correction 1. This helps fine-tune our flight path
07/04/2026 - 18:43:58 (-3 TMZ) | 05:23:08:58 (Artemis Clock) | Orion and its crew to come splash down on Earth. We are now three days, two hours, and nine minutes from our initially targeted splashdown time.
07/04/2026 - 18:44:29 (-3 TMZ) | 05:23:09:29 (Artemis Clock) | Now 48,670 miles from the moon and 228,090 miles from Earth, continuing to grow closer. You can keep up with this data at any time by visiting nasa.gov/trackartemis.
07/04/2026 - 18:44:49 (-3 TMZ) | 05:23:09:49 (Artemis Clock) | At that time, the teams will load up the latest burn plans aboard the spacecraft.
07/04/2026 - 18:45:15 (-3 TMZ) | 05:23:10:15 (Artemis Clock) | we're using the RCS, or Reaction Control System thrusters on the spacecraft, much smaller thrusters with much less power than the OMS, or Orbital Maneuvering System engine that we used to propel us around the moon and bring us back home.
07/04/2026 - 18:50:23 (-3 TMZ) | 05:23:15:23 (Artemis Clock) | We're coming up on the burn conference ahead of today's return trajectory correction burn with the crew members aboard the Orion spacecraft. As you heard Commander Reid Wiseman call down earlier, they have only eaten about 40 percent of the food allotted to them for this mission. The food the four astronauts eat plays a key role in maintaining their...
07/04/2026 - 18:50:49 (-3 TMZ) | 05:23:15:49 (Artemis Clock) | they can perform their mission objectives to the best of their abilities. Let's learn a little bit more about how to eat in space. -Around the Moon meal. -Around the Moon meal. What would you eat, cheese? -Oh, my gosh. It's clever. What do you think?
07/04/2026 - 18:51:20 (-3 TMZ) | 05:23:16:20 (Artemis Clock) | Here we are in what we call our food lab at NASA Johnson Space Center. We come in here quite often to sample space food. The neat thing about the food selection is it is so diverse. Different entrees that you wouldn't imagine could be
07/04/2026 - 18:51:46 (-3 TMZ) | 05:23:16:46 (Artemis Clock) | And for Artemis to do this, we got about halfway through the first session and we're like, we're not really sure we're going to have time on board to warm this stuff up. We talked a lot about day one, it's a long day. It's hours before we even leave the launch pad on our way to space. And then when we get to space, we have a lot of important things that day. We just did a sim yesterday.
07/04/2026 - 18:52:17 (-3 TMZ) | 05:23:17:17 (Artemis Clock) | as a crew and just have a joint meal. Like, that would be fun. ♪♪ My name is Xiu Lai Wu. I'm the food system manager for ISIS and Artemis. The food lab at Johnson Space Center, that's where we make and package most of the space food, and also where...
07/04/2026 - 18:52:44 (-3 TMZ) | 05:23:17:44 (Artemis Clock) | Provide the nutrition, the calorie, micronutrients for crew members, but also boosting crew morale is very important. There is always a lot of steps, very strict steps, for us to follow to make sure the food we provide are consistent and meet all the food safety, nutritional requirements.
07/04/2026 - 18:53:09 (-3 TMZ) | 05:23:18:09 (Artemis Clock) | The more variety we can have, the better to meet the needs of the astronaut group. They bring out these little tiny samples of food and you're like, oh my gosh, I thought we were having lunch. And then by the end, there's so many space foods and every time you leave, you're like, I am so full. I'm so full, I'm in pain. And you just rate them like, I love this.
07/04/2026 - 18:53:35 (-3 TMZ) | 05:23:18:35 (Artemis Clock) | My good parents are like, you need a well-balanced diet. Exactly. They were like, no, you can't have mac and cheese every day, Christina. Sorry. I'm Wyeth McKinley. I'm a flight controller and a crew instructor for Artemis II. We're here at the Space Vehicle Mockup Facility.
07/04/2026 - 18:54:01 (-3 TMZ) | 05:23:19:01 (Artemis Clock) | On the Orion vehicle, crew is able to heat up their food using our briefcase-style food warmer. The food is held in contact with the central heater plate by these springs so they can warm up and have a delicious meal. Much of the food and drink that's on Orion is rehydrated, and so crew at our potable water dispenser.
07/04/2026 - 18:54:28 (-3 TMZ) | 05:23:19:28 (Artemis Clock) | I'm kind of envisioning there's maybe one person putting the stuff in and out, kind of tossing it out to everyone as it's done. Or maybe if we're not scheduled together, you're just on your own over there, popping some things in. Or maybe just in your two minutes of free time between things, you're kind of getting it ready so it has time to warm up. We'll see. You need together really
07/04/2026 - 18:54:54 (-3 TMZ) | 05:23:19:54 (Artemis Clock) | group as a family has always been meaningful for me. Absolutely. It represents togetherness and something a little out of the ordinary. You don't necessarily get to have those meals with everybody in your life, but if you are sharing a meal, especially if you're sharing breakfast, lunch, and dinner with a group of people, that means something. It's like a camping trip.
07/04/2026 - 18:55:19 (-3 TMZ) | 05:23:20:19 (Artemis Clock) | Ready for burn maneuver.
07/04/2026 - 18:55:39 (-3 TMZ) | 05:23:20:39 (Artemis Clock) | The TGO is unchanged at one five seconds.
07/04/2026 - 18:55:59 (-3 TMZ) | 05:23:20:59 (Artemis Clock) | Roll two eight seven.
07/04/2026 - 18:56:20 (-3 TMZ) | 05:23:21:20 (Artemis Clock) | X 1.2 Y 0.6 Z minus 0.6
07/04/2026 - 18:56:41 (-3 TMZ) | 05:23:21:41 (Artemis Clock) | Thanks for that clear read-up, and we see that our next step is to run two-level Targeter.
07/04/2026 - 18:56:46 (-3 TMZ) | 05:23:21:46 (Artemis Clock) | We concur and we'll be watching, and just a reminder that we are not pressurizing the tanks before this burn, so we're gonna do it in blowdown.
07/04/2026 - 18:57:01 (-3 TMZ) | 05:23:22:01 (Artemis Clock) | Copy blowdown and understand we have a go to complete step 9 onboard even though the burn execution steps show it as a skip.
07/04/2026 - 18:57:06 (-3 TMZ) | 05:23:22:06 (Artemis Clock) | Checking.
07/04/2026 - 18:57:27 (-3 TMZ) | 05:23:22:27 (Artemis Clock) | nine for intermediate targeting.
07/04/2026 - 18:57:33 (-3 TMZ) | 05:23:22:33 (Artemis Clock) | Copy all, we will do it and chat with you after. Thank you. Roger.
07/04/2026 - 18:57:53 (-3 TMZ) | 05:23:22:53 (Artemis Clock) | in love here in Mission Control Houston, a fellow NASA astronaut speaking with NASA's Christina Koch aboard the Orion spacecraft.
07/04/2026 - 18:57:59 (-3 TMZ) | 05:23:22:59 (Artemis Clock) | The crew aboard the spacecraft is preparing for their return trajectory correction burn. It's the first of these return trajectory correction burns, reported to be a 1.4 foot per second delta-V burn.
